epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1820.83,1.67037,1.53698,2.03813,1.40285,0.29996,0.35961,0.25292,0.10492,0.34638,0.37685,0.32189,0.11436,1.86381,1.54595,2.04975,1.55255,8.713e-05,8.713e-05,8.713e-05
67,1848.44,1.63615,1.49888,1.9934,1.37306,0.29315,0.36946,0.24804,0.10272,0.34322,0.39163,0.33044,0.11346,1.87459,1.55219,2.03925,1.55307,8.6932e-05,8.6932e-05,8.6932e-05
68,1875.73,1.63961,1.52144,2.00515,1.37842,0.27717,0.36946,0.25083,0.10501,0.35633,0.40394,0.328,0.11334,1.86383,1.55222,2.03839,1.55603,8.6734e-05,8.6734e-05,8.6734e-05
69,1903.08,1.66454,1.49722,2.01844,1.41147,0.31367,0.35121,0.26564,0.10936,0.36234,0.41133,0.34444,0.11947,1.86236,1.54588,2.00586,1.5417,8.6536e-05,8.6536e-05,8.6536e-05
70,1930.61,1.64242,1.52108,1.99969,1.39166,0.29876,0.39163,0.26125,0.10705,0.35729,0.4335,0.3378,0.11948,1.85788,1.54291,2.01908,1.54611,8.6338e-05,8.6338e-05,8.6338e-05
71,1957.87,1.67435,1.51956,2.00267,1.38728,0.29208,0.36453,0.25994,0.10849,0.35715,0.41872,0.3465,0.12076,1.85099,1.54436,2.01497,1.53792,8.614e-05,8.614e-05,8.614e-05
72,1985.39,1.64684,1.52343,1.9837,1.38072,0.3228,0.36453,0.27222,0.11202,0.371,0.40394,0.34674,0.12162,1.8466,1.54549,2.00413,1.52698,8.5942e-05,8.5942e-05,8.5942e-05
73,2012.96,1.65634,1.51661,1.99275,1.37159,0.30512,0.37962,0.27096,0.10947,0.36762,0.39949,0.35306,0.12066,1.87002,1.54243,2.00647,1.52992,8.5744e-05,8.5744e-05,8.5744e-05
74,2040.43,1.63611,1.54728,1.97934,1.36912,0.30113,0.40148,0.26587,0.11148,0.35154,0.43842,0.3605,0.12435,1.8652,1.53741,1.99004,1.53774,8.5546e-05,8.5546e-05,8.5546e-05
75,2067.99,1.61914,1.50823,1.96164,1.37074,0.30982,0.37192,0.27269,0.11124,0.41756,0.38424,0.35575,0.12281,1.85467,1.53662,2.00079,1.51713,8.5348e-05,8.5348e-05,8.5348e-05
76,2095.27,1.63236,1.5027,1.93779,1.37599,0.34341,0.36071,0.27943,0.11265,0.38093,0.40012,0.34954,0.12052,1.8694,1.53232,1.99995,1.54631,8.515e-05,8.515e-05,8.515e-05
77,2122.5,1.61531,1.52742,1.91816,1.37111,0.34634,0.34974,0.27422,0.11186,0.40556,0.37438,0.3529,0.12522,1.87162,1.53273,2.00033,1.53787,8.4952e-05,8.4952e-05,8.4952e-05
78,2150.03,1.61437,1.52836,1.96123,1.37595,0.32963,0.38424,0.2736,0.11097,0.39809,0.39901,0.35491,0.12246,1.86667,1.53501,1.98922,1.54129,8.4754e-05,8.4754e-05,8.4754e-05
79,2177.4,1.60179,1.5006,1.90442,1.35118,0.3191,0.39655,0.27918,0.1126,0.3627,0.45074,0.35798,0.12316,1.86021,1.52836,1.9888,1.54495,8.4556e-05,8.4556e-05,8.4556e-05
80,2204.76,1.60807,1.5105,1.9391,1.36093,0.28974,0.39186,0.26315,0.10656,0.38694,0.36067,0.33993,0.11865,1.8899,1.52888,2.01745,1.54952,8.4358e-05,8.4358e-05,8.4358e-05
81,2232.03,1.63202,1.51668,1.93451,1.37607,0.31677,0.4054,0.28101,0.11156,0.36339,0.44828,0.35364,0.12264,1.85308,1.52747,1.97933,1.54147,8.416e-05,8.416e-05,8.416e-05
