epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,3937.91,1.38389,1.26962,1.41147,1.32209,0.37961,0.367,0.29526,0.11002,0.40063,0.42146,0.34018,0.11255,2.11504,1.73176,2.08345,1.90553,0.001604,0.001604,0.001604
102,3976.75,1.38441,1.25829,1.38294,1.30863,0.34999,0.37685,0.29134,0.10682,0.44511,0.41379,0.35366,0.11853,2.18972,1.76535,2.10657,1.99528,0.00160004,0.00160004,0.00160004
103,4015.61,1.39696,1.29051,1.42003,1.32562,0.37242,0.4064,0.30134,0.1129,0.41376,0.42611,0.34909,0.12256,2.14878,1.7815,2.02347,1.96389,0.00159608,0.00159608,0.00159608
104,4054.46,1.37191,1.27673,1.38862,1.321,0.36817,0.3867,0.30463,0.11266,0.41141,0.41872,0.33713,0.11977,2.14178,1.7693,2.07071,1.96924,0.00159212,0.00159212,0.00159212
105,4093.34,1.36347,1.27675,1.38304,1.31525,0.37032,0.37685,0.32523,0.11414,0.39516,0.44335,0.37792,0.12558,2.19666,1.75398,2.02227,2.02349,0.00158816,0.00158816,0.00158816
106,4132.33,1.40132,1.29482,1.41129,1.31992,0.37537,0.40887,0.31725,0.11229,0.4032,0.4335,0.36149,0.11839,2.20409,1.77975,2.01411,2.02488,0.0015842,0.0015842,0.0015842
107,4171.2,1.38144,1.27516,1.36578,1.31667,0.37084,0.43118,0.30831,0.1135,0.41907,0.47783,0.36974,0.12316,2.18533,1.79027,1.98456,2.00786,0.00158024,0.00158024,0.00158024
108,4210.05,1.36789,1.2761,1.38299,1.31305,0.32107,0.38205,0.2849,0.1047,0.39107,0.44335,0.35019,0.11407,2.21734,1.75025,2.08951,2.0858,0.00157628,0.00157628,0.00157628
109,4248.96,1.34552,1.28662,1.34785,1.30056,0.38643,0.41133,0.31171,0.11405,0.41188,0.44089,0.35993,0.11858,2.1611,1.75934,2.03568,1.96535,0.00157232,0.00157232,0.00157232
110,4287.92,1.33659,1.21626,1.30217,1.28622,0.37349,0.42857,0.32123,0.12527,0.40388,0.4532,0.36279,0.12527,2.20122,1.78279,2.04677,2.05057,0.00156836,0.00156836,0.00156836
111,4326.85,1.3443,1.27326,1.32236,1.2973,0.35826,0.4532,0.31392,0.11354,0.41191,0.44581,0.35195,0.11706,2.19285,1.74353,1.99196,2.03647,0.0015644,0.0015644,0.0015644
112,4365.7,1.32228,1.25358,1.33219,1.28779,0.37417,0.3867,0.30628,0.11052,0.39086,0.40394,0.34527,0.11503,2.22714,1.77675,2.05385,2.10798,0.00156044,0.00156044,0.00156044
113,4404.51,1.34783,1.26147,1.32735,1.28612,0.31676,0.39655,0.27958,0.10406,0.42681,0.41626,0.33838,0.11621,2.19113,1.7611,2.09707,2.04161,0.00155648,0.00155648,0.00155648
114,4443.36,1.30504,1.22818,1.28626,1.27147,0.39105,0.36207,0.2947,0.10615,0.41865,0.38313,0.33402,0.11051,2.16827,1.79945,2.10834,2.02824,0.00155252,0.00155252,0.00155252
115,4482.22,1.30021,1.23265,1.27379,1.25005,0.33257,0.41133,0.27782,0.09945,0.37476,0.45074,0.33411,0.11067,2.13109,1.76788,2.10762,1.98144,0.00154856,0.00154856,0.00154856
116,4521.1,1.2951,1.22199,1.24239,1.24745,0.34571,0.44089,0.29158,0.11088,0.37727,0.45567,0.34655,0.11953,2.16824,1.75282,2.17485,2.02053,0.0015446,0.0015446,0.0015446
117,4559.88,1.30045,1.19956,1.22372,1.26108,0.3655,0.39901,0.2973,0.11009,0.44486,0.42238,0.35609,0.12014,2.21769,1.81144,2.14929,2.08163,0.00154064,0.00154064,0.00154064
118,4598.6,1.31777,1.25625,1.26541,1.27589,0.35143,0.35222,0.26753,0.10241,0.36322,0.42118,0.32976,0.11041,2.21243,1.79141,2.08949,2.06896,0.00153668,0.00153668,0.00153668
119,4637.42,1.28091,1.21464,1.25921,1.26256,0.35764,0.34832,0.27111,0.09957,0.38371,0.39901,0.33741,0.11228,2.23636,1.74801,2.17945,2.10588,0.00153272,0.00153272,0.00153272
120,4676.24,1.27302,1.22059,1.20101,1.24265,0.33796,0.38177,0.29472,0.11578,0.39433,0.42118,0.35157,0.11627,2.21316,1.79395,2.13591,2.08719,0.00152876,0.00152876,0.00152876
121,4715.04,1.26151,1.20094,1.22391,1.24258,0.37215,0.35961,0.28422,0.10608,0.36617,0.41133,0.3339,0.11903,2.23687,1.70246,2.11282,2.10069,0.0015248,0.0015248,0.0015248
122,4753.77,1.26347,1.20578,1.2332,1.24793,0.36484,0.39332,0.2984,0.1071,0.40323,0.43596,0.35147,0.12545,2.23847,1.761,2.11106,2.10697,0.00152084,0.00152084,0.00152084
123,4792.59,1.25173,1.22816,1.20392,1.22929,0.33544,0.4064,0.26725,0.0961,0.38587,0.4335,0.32451,0.10795,2.26719,1.78178,2.18092,2.123,0.00151688,0.00151688,0.00151688
124,4831.4,1.23445,1.17411,1.16218,1.2308,0.35686,0.36207,0.28635,0.10983,0.35818,0.43842,0.33553,0.1201,2.21895,1.7519,2.04521,2.06331,0.00151292,0.00151292,0.00151292
125,4870.23,1.24905,1.21045,1.17065,1.23029,0.30413,0.37892,0.26422,0.09576,0.45574,0.30788,0.32851,0.11131,2.30529,1.74381,2.27485,2.15949,0.00150896,0.00150896,0.00150896
126,4909.07,1.23775,1.2017,1.19759,1.22978,0.36219,0.34975,0.27173,0.10332,0.39857,0.41626,0.34047,0.11413,2.31758,1.82395,2.17398,2.19858,0.001505,0.001505,0.001505
127,4947.87,1.23019,1.21007,1.16053,1.22847,0.35927,0.38177,0.26842,0.10119,0.38809,0.41379,0.3199,0.10939,2.27612,1.77082,2.11407,2.15137,0.00150104,0.00150104,0.00150104
